Topic/Chapter Name,Video Description,Video URL
Definite Integrals,Part 11,https://www.youtube.com/watch?v=Qv06O_qPt8U&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=39
Hyperbola,Part 1,https://www.youtube.com/watch?v=5UfOcJHq-0E&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=42
Hyperbola,Part 2,https://www.youtube.com/watch?v=98o8mtHv_Xs&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=43
Hyperbola,Part 3,https://www.youtube.com/watch?v=7ti_D2w8mAU&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=41
Parabola,Part 1,https://www.youtube.com/watch?v=oO0Jry-zlY8&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=45
Parabola,Part 2,https://www.youtube.com/watch?v=GNqDB3WRjOA&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=46
Parabola,Part 3,https://www.youtube.com/watch?v=qjKUnqcerJM&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=47
Parabola,Part 4,https://www.youtube.com/watch?v=vifG4bxvKzQ&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=48
Differential Equations,Part 1,https://www.youtube.com/watch?v=0UJkf0zRPGY&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=49
Differential Equations,Part 2,https://www.youtube.com/watch?v=mT8-maSz8Vg&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=50
Differential Equations,Part 3,https://www.youtube.com/watch?v=9sVMobFpORc&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=51
Differential Equations,Part 4,https://www.youtube.com/watch?v=SLYMlyM_BE0&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=52
Differential Equations,Part 5,https://www.youtube.com/watch?v=n0yorATIcf0&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=53
Differential Equations,Part 6,https://www.youtube.com/watch?v=QzJQIb4E9yo&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=54
Differential Equations,Part 7,https://www.youtube.com/watch?v=L7iMRxLGXBk&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=55
Differential Equations,Part 8,https://www.youtube.com/watch?v=CTOPoNX0h64&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=56
Differential Equations,Part 9,https://www.youtube.com/watch?v=6vvGpa5kFf8&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=57
Differential Equations,Part 10,https://www.youtube.com/watch?v=VTyAH-s16co&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=58
Differential Equations,Non Homogeneous Differentiation Part 11,https://www.youtube.com/watch?v=2Q7dOR9fOXc&list=PLMWDrUbeKoyJy1ZUS9FNGd6kxW7lDs2KY&index=59
